JOB_NAME,JOB_ID,FILE_SIZE,PARALLELISM
MQTT_ELASTIC,2aa10a9b-dd89-40fd-90ad-faffa20dd91f,200 mb,16
XML_ELASTIC,b22a40a2-fae2-4bc6-8cb0-083a946f7eed,200 mb,16
CSV_TIDBAAS,1c3cb1eb-4f63-41da-b225-aeb81a192041,200 mb,16
CSV_NEO4JDBAAS,a5c794a2-0484-485e-b21e-79404dae3840,200 mb,16
CSV_ELASTIC,3db2a5b1-085b-419c-8238-73ce3bf45854,200 mb,16
CSV_MONGODBAAS,e74e1ee8-45b0-43e8-ba2c-2cebb345223d,200 mb,16
CSV_REDIS,3b8927e6-0089-4b1e-9eb0-7c6377e30de1,200 mb,32
XML_REDIS,840d3039-f1e9-4929-ab63-f86886b2d356,200 mb,32
JSON_REDIS,00ff4ccd-a61f-475d-a6cf-a7a7c52e6b98,200 mb,32
CSV_RSOCKET,8d261469-2aec-478c-a1b1-d7888d050746,200 mb,32
JSON_RSOCKET,5b7cccb5-72a4-47c3-b894-2d2fff1e9352,200 mb,32
XML_RSOCKET,a6902e25-a2c7-4d27-b309-692a7e2daa20,200 mb,32
CSV_WEBSOCKET,555517ac-7be1-456b-8c6e-d6d6bbc1eb1b,200 mb,32
JSON_WEBSOCKET,2ca1b4c8-df7f-45bc-8025-92fa01b55b6b,200 mb,32
XML_WEBSOCKET,aa4ac3bc-13ce-44ad-bc74-2b9556f6550d,200 mb,32
XML_POSTGIS,bd5bc03c-fa46-45d6-870f-65e4e4428e39,200 mb,32
JSON_POSTGIS,4ba8bb81-0d61-4286-a06e-a6a3e516f445,200 mb,32
CSV_POSTGIS,8abd6441-e2b5-47df-9f02-d9687479512d,200 mb,32
CSV_INFLUX,89fa24e1-26cb-4b05-bc2b-ad2829dc098c,200 mb,32
XML_INFLUX,f078e805-445e-4b40-b36c-9af6c44c00fe,200 mb,32
JSON_INFLUX,57c0e333-538d-48d7-a172-52e1fb2b4bbe,200 mb,32
CSV_TI,3d0d744c-31dd-4190-9c70-0f2fcea88d89,200 mb,32
JSON_TI,e5d6dc8d-5319-46ab-b83a-7b064e92a747,200 mb,32
XML_TI,aa30efde-e57e-4e4c-b6b0-50faaea04051,200 mb,32
KAFKA_TI,90a58fed-be88-4057-9f8e-3ca71320b49f,200 mb,32
CSV_GROUP,e118e8ae-7032-4991-9fe3-36e16c2efec7,200 mb,32
XML_GROUP,a36073df-938d-41b0-ad60-02445ab95874,200 mb,32
JSON_GROUP,5d9122ae-93b6-409f-8621-3b21d7f45866,200 mb,32
CSV_CONTEXT,c5d4d145-09ac-475f-a93b-50659be16813,200 mb,32
XML_CONTEXT,b6a76b03-6f63-445c-9560-aa57df7157e0,200 mb,32
JSON_CONTEXT,0a7ff4c5-2048-4601-aed6-4fcb6dddf5e2,200 mb,32
KAFKA_CONTEXT,a2fe7f3e-5601-4d82-9a3d-8d9a1bde674f,200 mb,32
KAFKA_GROUP,0c47d273-da21-4607-bb5a-58a8a9e89075,200 mb,32
CSV_NEO4J,e16577ad-2197-49cb-add8-6b291a77b88b,200 mb,32
KAFKA_REDIS,418e235e-0321-4fc4-a145-d6baccf85855,200 mb,32
KAFKA_RSOCKET,17425e14-63bf-4277-8b57-f750ec36dc64,200 mb,32
KAFKA_WEBSOCKET,3381bee4-dbeb-47e9-b4a3-a93bb630455a,200 mb,32
KAFKA_MONGO,23c64603-4114-4688-ae79-16d014bc4eb5,200 mb,32
XML_MONGO,ba7827a3-c9a0-4033-87fe-846a3071a3c4,200 mb,32
JSON_MONGO,f035ea18-3306-456e-92a2-728cd6754c95,200 mb,32
CSV_MONGO,0b8c15a9-1f50-4bf8-9603-338f41812f22,200 mb,32
MQTT_CLICKHOUSE,59181b64-ee79-42d3-8afe-4292307607c7,200 mb,32
JSON_ELASTIC,fb567bad-7140-48ab-95c7-898749f0c3b3,200 mb,32
KAFKA_ELASTIC,92dd7a77-1060-4c78-a9fe-a6733abd0ca8,200 mb,32
MQTT_ELASTIC,382a76ff-c3a2-4320-a0eb-a7d54b467a9c,200 mb,32
XML_ELASTIC,1b1165d7-9c00-4bb2-a4ba-3bd86c1a5f20,200 mb,32
CSV_TIDBAAS,69c6b2e9-5920-4c20-9789-a9dc38b9097c,200 mb,32
CSV_NEO4JDBAAS,04e53527-0ed9-44ff-b8e1-631cb4e15219,200 mb,32
CSV_ELASTIC,ef2fb860-53c2-45ac-af3a-4b4f6454a2e5,200 mb,32
CSV_MONGODBAAS,6f875168-0424-44ac-9025-896e06722f68,200 mb,32

